+--------------+--------------+--------------+--------------+------------------+--------------+
|         load |        build |        solve |     evaluate |              cut |        total |
+--------------+--------------+--------------+--------------+------------------+--------------+
heavyNode=978
Total...
Creating variable map...
Creating variable map done 348.360127 msec
Counting QUBO weights...
Counting QUBO weights done 140.912278 msec
Converting QUBO to CRS format...
  Adding weights...
  Adding weights done 504.220982 msec
  Creating CRS data...
  Creating CRS data done 169.257503 msec
Converting QUBO to CRS format done 674.301323 msec
scaling factor: 5.89379e+07
number of QUBO weights: 9527014, rate: 74.3%
Solve...
Progress: 1.402[s], energy -2348750581688339, penalty energy 0, src id 0
Progress: 1.403[s], energy -2349125871118562, penalty energy 0, src id 0
Progress: 2.409[s], energy -2352992952089241, penalty energy 0, src id 0
Progress: 2.409[s], energy -2353194747972501, penalty energy 0, src id 0
Progress: 2.409[s], energy -2353790495904069, penalty energy 0, src id 0
Progress: 3.349[s], energy -2356282046600918, penalty energy 0, src id 0
Progress: 3.349[s], energy -2356479599914480, penalty energy 0, src id 0
Progress: 3.349[s], energy -2356649843086802, penalty energy 0, src id 0
Progress: 4.084[s], energy -2358262432399790, penalty energy 0, src id 0
Progress: 4.084[s], energy -2358325881051006, penalty energy 0, src id 0
Progress: 4.804[s], energy -2358887434503324, penalty energy 0, src id 0
Progress: 4.804[s], energy -2358896108759024, penalty energy 0, src id 0
Progress: 4.804[s], energy -2358998393241130, penalty energy 0, src id 0
Progress: 5.431[s], energy -2359442522433948, penalty energy 0, src id 0
Progress: 5.431[s], energy -2359497005185100, penalty energy 0, src id 0
Progress: 6.004[s], energy -2359829174863509, penalty energy 0, src id 0
Progress: 6.004[s], energy -2359833584413998, penalty energy 0, src id 0
Progress: 6.486[s], energy -2360004479206433, penalty energy 0, src id 0
Progress: 6.486[s], energy -2360037204508240, penalty energy 0, src id 0
Progress: 6.486[s], energy -2360161388703883, penalty energy 0, src id 0
Progress: 6.908[s], energy -2360403900668114, penalty energy 0, src id 0
Progress: 6.908[s], energy -2360504442614150, penalty energy 0, src id 0
Progress: 7.280[s], energy -2360564204906173, penalty energy 0, src id 0
Progress: 7.280[s], energy -2360676114756555, penalty energy 0, src id 0
Progress: 7.696[s], energy -2360939795982275, penalty energy 0, src id 0
Progress: 7.696[s], energy -2361136432830941, penalty energy 0, src id 0
Progress: 8.054[s], energy -2361383640826475, penalty energy 0, src id 0
Progress: 8.453[s], energy -2361510196383579, penalty energy 0, src id 0
Progress: 8.453[s], energy -2361528832698183, penalty energy 0, src id 0
Progress: 8.453[s], energy -2361628204941643, penalty energy 0, src id 0
Progress: 8.797[s], energy -2361702218021794, penalty energy 0, src id 0
Progress: 8.797[s], energy -2361703437839442, penalty energy 0, src id 0
Progress: 8.797[s], energy -2361731067078121, penalty energy 0, src id 0
Progress: 8.797[s], energy -2361737184382733, penalty energy 0, src id 0
Progress: 8.797[s], energy -2361786737548743, penalty energy 0, src id 0
Progress: 9.199[s], energy -2361879440275768, penalty energy 0, src id 0
Progress: 9.199[s], energy -2361920529681332, penalty energy 0, src id 0
Progress: 9.602[s], energy -2361978435978228, penalty energy 0, src id 0
Progress: 9.996[s], energy -2362026533864089, penalty energy 0, src id 0
Progress: 9.996[s], energy -2362053662709616, penalty energy 0, src id 0
Progress: 9.996[s], energy -2362167577812508, penalty energy 0, src id 0
Progress: 10.421[s], energy -2362272546462885, penalty energy 0, src id 0
Progress: 10.421[s], energy -2362275973801734, penalty energy 0, src id 0
Progress: 10.829[s], energy -2362323757956186, penalty energy 0, src id 0
Progress: 10.829[s], energy -2362345039707457, penalty energy 0, src id 0
Progress: 11.195[s], energy -2362413025450828, penalty energy 0, src id 0
Progress: 11.196[s], energy -2362413927991380, penalty energy 0, src id 0
Progress: 12.925[s], energy -2362432962097453, penalty energy 0, src id 0
Progress: 13.480[s], energy -2362724825781084, penalty energy 0, src id 0
Progress: 13.480[s], energy -2362741090918729, penalty energy 0, src id 0
Progress: 13.480[s], energy -2362772689317429, penalty energy 0, src id 0
Progress: 13.958[s], energy -2362891544857879, penalty energy 0, src id 0
Progress: 13.958[s], energy -2362892254617853, penalty energy 0, src id 0
Progress: 13.958[s], energy -2362893272488731, penalty energy 0, src id 0
Progress: 14.375[s], energy -2362905665495630, penalty energy 0, src id 0
Progress: 14.376[s], energy -2362906396254215, penalty energy 0, src id 0
Progress: 14.777[s], energy -2362963308768365, penalty energy 0, src id 0
Progress: 15.435[s], energy -2362977097686567, penalty energy 0, src id 0
Progress: 15.435[s], energy -2362977242307332, penalty energy 0, src id 0
Progress: 16.973[s], energy -2363109992048338, penalty energy 0, src id 0
Progress: 16.974[s], energy -2363192120920456, penalty energy 0, src id 0
Progress: 16.974[s], energy -2363242960056991, penalty energy 0, src id 0
Progress: 17.530[s], energy -2363732254271927, penalty energy 0, src id 0
Progress: 17.979[s], energy -2363842713711490, penalty energy 0, src id 0
Progress: 18.436[s], energy -2363861824428174, penalty energy 0, src id 0
Progress: 18.436[s], energy -2363867433680549, penalty energy 0, src id 0
Progress: 18.872[s], energy -2363879471721046, penalty energy 0, src id 0
Progress: 18.872[s], energy -2363902351185255, penalty energy 0, src id 0
Progress: 19.275[s], energy -2363959597853441, penalty energy 0, src id 0
Progress: 19.276[s], energy -2363960396261400, penalty energy 0, src id 0
Progress: 19.625[s], energy -2363966701416773, penalty energy 0, src id 0
Progress: 20.022[s], energy -2363979352341751, penalty energy 0, src id 0
Progress: 20.023[s], energy -2364005957253899, penalty energy 0, src id 0
Progress: 20.023[s], energy -2364009229283764, penalty energy 0, src id 0
Progress: 20.435[s], energy -2364020043521288, penalty energy 0, src id 0
Progress: 25.310[s], energy -2364265725220156, penalty energy 0, src id 0
Progress: 25.310[s], energy -2364315077492326, penalty energy 0, src id 0
Progress: 25.310[s], energy -2364327319140707, penalty energy 0, src id 0
Progress: 25.731[s], energy -2364421336602432, penalty energy 0, src id 0
Progress: 25.731[s], energy -2364424704650029, penalty energy 0, src id 0
Progress: 25.731[s], energy -2364435860515267, penalty energy 0, src id 0
Progress: 25.731[s], energy -2364453941371629, penalty energy 0, src id 0
Progress: 26.150[s], energy -2364490760991549, penalty energy 0, src id 0
Progress: 26.493[s], energy -2364509729370104, penalty energy 0, src id 0
Progress: 26.493[s], energy -2364511646572843, penalty energy 0, src id 0
Progress: 26.493[s], energy -2364547242013332, penalty energy 0, src id 0
Progress: 26.493[s], energy -2364548048274958, penalty energy 0, src id 0
Progress: 26.861[s], energy -2364548208423072, penalty energy 0, src id 0
Progress: 26.861[s], energy -2364548404575922, penalty energy 0, src id 0
Progress: 27.180[s], energy -2364548678623292, penalty energy 0, src id 0
Progress: 27.180[s], energy -2364566140973683, penalty energy 0, src id 0
Progress: 27.180[s], energy -2364628441164317, penalty energy 0, src id 0
Progress: 32.509[s], energy -2364674202747478, penalty energy 0, src id 1
Progress: 35.235[s], energy -2364682948144578, penalty energy 0, src id 0
Progress: 35.623[s], energy -2364729654958428, penalty energy 0, src id 0
Progress: 35.623[s], energy -2364730626641722, penalty energy 0, src id 0
Progress: 35.624[s], energy -2364753242434651, penalty energy 0, src id 0
Progress: 36.368[s], energy -2364759643765332, penalty energy 0, src id 0
Progress: 37.981[s], energy -2364763290566906, penalty energy 0, src id 0
Progress: 37.982[s], energy -2364772017892642, penalty energy 0, src id 0
Progress: 37.982[s], energy -2364776040317790, penalty energy 0, src id 0
Progress: 38.393[s], energy -2364790425321072, penalty energy 0, src id 0
Progress: 38.393[s], energy -2364795180899245, penalty energy 0, src id 0
Progress: 38.393[s], energy -2364795701179357, penalty energy 0, src id 0
Progress: 38.393[s], energy -2364799818099211, penalty energy 0, src id 0
Progress: 38.543[s], energy -2365146717164063, penalty energy 0, src id 1
Progress: 43.290[s], energy -2365478583753757, penalty energy 0, src id 0
Progress: 43.291[s], energy -2365703541541872, penalty energy 0, src id 0
Progress: 43.765[s], energy -2365716734152177, penalty energy 0, src id 0
Progress: 43.765[s], energy -2365726010894518, penalty energy 0, src id 0
Progress: 44.218[s], energy -2365726988478100, penalty energy 0, src id 0
Progress: 45.569[s], energy -2365761504522224, penalty energy 0, src id 0
Progress: 46.765[s], energy -2365771563719840, penalty energy 0, src id 0
Progress: 47.579[s], energy -2365885956742720, penalty energy 0, src id 0
Progress: 47.579[s], energy -2365892503335217, penalty energy 0, src id 0
Progress: 47.579[s], energy -2365896576568999, penalty energy 0, src id 0
Progress: 48.029[s], energy -2366038349585668, penalty energy 0, src id 0
Progress: 50.069[s], energy -2366095783787798, penalty energy 0, src id 0
Progress: 50.495[s], energy -2366101858916245, penalty energy 0, src id 0
Progress: 50.495[s], energy -2366102818321787, penalty energy 0, src id 0
Progress: 50.495[s], energy -2366105931889262, penalty energy 0, src id 0
Progress: 50.594[s], energy -2366114774574670, penalty energy 0, src id 1
Progress: 50.847[s], energy -2366117450110907, penalty energy 0, src id 0
Progress: 50.847[s], energy -2366117536273334, penalty energy 0, src id 0
Progress: 50.847[s], energy -2366119287111349, penalty energy 0, src id 0
Progress: 54.867[s], energy -2366156509107046, penalty energy 0, src id 0
Progress: 55.800[s], energy -2366194771159703, penalty energy 0, src id 0
Progress: 55.800[s], energy -2366200735607404, penalty energy 0, src id 0
Progress: 56.208[s], energy -2366214223091825, penalty energy 0, src id 0
Progress: 56.208[s], energy -2366215021403849, penalty energy 0, src id 0
Progress: 56.574[s], energy -2366223903386091, penalty energy 0, src id 0
Progress: 56.725[s], energy -2366285036008641, penalty energy 0, src id 1
Progress: 57.427[s], energy -2366392168046357, penalty energy 0, src id 0
Progress: 57.427[s], energy -2366394340620285, penalty energy 0, src id 0
Progress: 58.008[s], energy -2366514123299407, penalty energy 0, src id 0
Progress: 58.507[s], energy -2366614935209797, penalty energy 0, src id 0
Progress: 58.507[s], energy -2366620051537714, penalty energy 0, src id 0
Progress: 58.890[s], energy -2366660349352834, penalty energy 0, src id 0
Progress: 58.890[s], energy -2366675226509063, penalty energy 0, src id 0
Progress: 59.278[s], energy -2366675637948831, penalty energy 0, src id 0
Progress: 59.278[s], energy -2366682884670146, penalty energy 0, src id 0
Progress: 59.278[s], energy -2366738715873697, penalty energy 0, src id 0
Progress: 59.671[s], energy -2366742426176774, penalty energy 0, src id 0
Progress: 59.672[s], energy -2366748541039898, penalty energy 0, src id 0
Progress: 59.672[s], energy -2366749716065883, penalty energy 0, src id 0
Progress: 59.672[s], energy -2366750270921852, penalty energy 0, src id 0
Progress: 59.672[s], energy -2366750705546567, penalty energy 0, src id 0
Progress: 60.039[s], energy -2366760307894866, penalty energy 0, src id 0
Progress: 60.040[s], energy -2366805871795239, penalty energy 0, src id 0
Progress: 60.424[s], energy -2366818316766390, penalty energy 0, src id 0
Progress: 60.424[s], energy -2366836491316877, penalty energy 0, src id 0
Progress: 60.424[s], energy -2366857325236012, penalty energy 0, src id 0
Progress: 60.778[s], energy -2366875484595114, penalty energy 0, src id 0
Progress: 60.778[s], energy -2366878185020119, penalty energy 0, src id 0
Progress: 60.778[s], energy -2366897879707877, penalty energy 0, src id 0
Progress: 61.538[s], energy -2366921872909457, penalty energy 0, src id 0
Progress: 65.671[s], energy -2366925508199064, penalty energy 0, src id 0
Progress: 68.885[s], energy -2367072628222584, penalty energy 0, src id 1
Progress: 69.617[s], energy -2367188449452470, penalty energy 0, src id 0
Progress: 69.617[s], energy -2367249070064822, penalty energy 0, src id 0
Progress: 70.118[s], energy -2367357346499177, penalty energy 0, src id 0
