+--------------+--------------+--------------+--------------+------------------+--------------+
|         load |        build |        solve |     evaluate |              cut |        total |
+--------------+--------------+--------------+--------------+------------------+--------------+
heavyNode=3533
Total...
Creating variable map...
Creating variable map done 56.170740 msec
Counting QUBO weights...
Counting QUBO weights done 28.968979 msec
Converting QUBO to CRS format...
  Adding weights...
  Adding weights done 206.916840 msec
  Creating CRS data...
  Creating CRS data done 0.395868 msec
Converting QUBO to CRS format done 207.370513 msec
scaling factor: 1.18534e+09
number of QUBO weights: 11351, rate: 0.0%
Solve...
Progress: 0.858[s], energy -477707532803654, penalty energy 0, src id 0
Progress: 1.430[s], energy -477707609217650, penalty energy 0, src id 0
Progress: 1.430[s], energy -477707625097279, penalty energy 0, src id 0
Progress: 1.839[s], energy -477707640875819, penalty energy 0, src id 0
Progress: 1.839[s], energy -477707641445722, penalty energy 0, src id 0
Progress: 1.839[s], energy -477707642767297, penalty energy 0, src id 0
Progress: 2.250[s], energy -477707645642004, penalty energy 0, src id 0
Progress: 2.250[s], energy -477707645787657, penalty energy 0, src id 0
Progress: 2.250[s], energy -477707645873601, penalty energy 0, src id 0
Progress: 2.605[s], energy -477707646332349, penalty energy 0, src id 0
Progress: 2.605[s], energy -477707646410618, penalty energy 0, src id 0
Progress: 2.605[s], energy -477707646470778, penalty energy 0, src id 0
Progress: 2.939[s], energy -477707646579331, penalty energy 0, src id 0
Progress: 3.287[s], energy -477707646608982, penalty energy 0, src id 0
Progress: 3.287[s], energy -477707646625468, penalty energy 0, src id 0
Progress: 3.620[s], energy -477707646909283, penalty energy 0, src id 0
Progress: 3.620[s], energy -477707646910183, penalty energy 0, src id 0
Progress: 3.620[s], energy -477707646913732, penalty energy 0, src id 0
Progress: 4.010[s], energy -477707647180371, penalty energy 0, src id 0
Progress: 4.010[s], energy -477707647198638, penalty energy 0, src id 0
Progress: 4.436[s], energy -477707647344542, penalty energy 0, src id 0
Progress: 4.436[s], energy -477707647350691, penalty energy 0, src id 0
Progress: 4.436[s], energy -477707647362891, penalty energy 0, src id 0
Progress: 4.777[s], energy -477707647389716, penalty energy 0, src id 0
Progress: 4.778[s], energy -477707647392108, penalty energy 0, src id 0
Progress: 4.778[s], energy -477707647393128, penalty energy 0, src id 0
Progress: 5.109[s], energy -477707648614058, penalty energy 0, src id 0
Progress: 5.109[s], energy -477707648621237, penalty energy 0, src id 0
Progress: 5.467[s], energy -477707648971867, penalty energy 0, src id 0
Progress: 5.822[s], energy -477707649290457, penalty energy 0, src id 0
Progress: 5.822[s], energy -477707649292791, penalty energy 0, src id 0
Progress: 5.822[s], energy -477707649301295, penalty energy 0, src id 0
Progress: 5.822[s], energy -477707649992609, penalty energy 0, src id 0
Progress: 6.156[s], energy -477707650233800, penalty energy 0, src id 0
Progress: 6.538[s], energy -477707650286620, penalty energy 0, src id 0
Progress: 6.538[s], energy -477707650289408, penalty energy 0, src id 0
Progress: 6.881[s], energy -477707650341945, penalty energy 0, src id 0
Progress: 6.882[s], energy -477707650342200, penalty energy 0, src id 0
Progress: 7.216[s], energy -477707650439048, penalty energy 0, src id 0
Progress: 7.216[s], energy -477707650441518, penalty energy 0, src id 0
Progress: 7.591[s], energy -477707650651090, penalty energy 0, src id 0
Progress: 7.591[s], energy -477707650656590, penalty energy 0, src id 0
